WKT,name,description
"POLYGON ((-46.7380061 -23.5593085, -46.737983 -23.5594613, -46.7363938 -23.5594712, -46.7368145 -23.5586139, -46.7380061 -23.5593085))",radio tv USP,
,,
"POLYGON ((-46.7341864 -23.5572989, -46.7343958 -23.5574695, -46.7347606 -23.5574154, -46.7368145 -23.5586139, -46.7363938 -23.5594712, -46.7359723 -23.5595117, -46.7359621 -23.5594719, -46.7338754 -23.5588966, -46.7336849 -23.5588843, -46.7326523 -23.5585985, -46.7326093 -23.5582005, -46.7325099 -23.5581023, -46.7341864 -23.5572989))",IEE,
"POLYGON ((-46.7366387 -23.5619863, -46.7363409 -23.5621461, -46.7330968 -23.5625119, -46.7321222 -23.5625035, -46.733156 -23.5606056, -46.7324157 -23.5603708, -46.7323249 -23.5601657, -46.7325019 -23.5599641, -46.7359686 -23.5596048, -46.736446 -23.5604629, -46.7366387 -23.5619863))",IF,
"POLYGON ((-46.7267337 -23.5623502, -46.7268625 -23.562365, -46.7270226 -23.562494, -46.7272948 -23.5629464, -46.72761 -23.5630829, -46.7271725 -23.5643598, -46.7270948 -23.5651293, -46.7272422 -23.5658458, -46.7276338 -23.5664162, -46.7279399 -23.5667357, -46.7278326 -23.5668501, -46.7230232 -23.5642628, -46.7247358 -23.5634171, -46.7251247 -23.5631319, -46.7267337 -23.5623502))",químicas,
"POLYGON ((-46.730523 -23.5671115, -46.7301823 -23.5655811, -46.7300429 -23.5653844, -46.729257 -23.5649837, -46.7290826 -23.5645141, -46.7293804 -23.5634471, -46.7295574 -23.5631766, -46.7311935 -23.5619277, -46.7311941 -23.5622921, -46.7316152 -23.5627936, -46.7331135 -23.5646797, -46.7334219 -23.5660318, -46.7317133 -23.5666956, -46.7312547 -23.5667583, -46.7309301 -23.5669439, -46.7307477 -23.567148, -46.730523 -23.5671115))",bio,
"POLYGON ((-46.7293204 -23.565256, -46.7298967 -23.5655803, -46.7299772 -23.5656959, -46.7300683 -23.5659024, -46.7302615 -23.5669177, -46.7295377 -23.5670016, -46.7293204 -23.565256))",bio,
"POLYGON ((-46.7359686 -23.5596048, -46.7362517 -23.5595707, -46.7367237 -23.5595486, -46.7378161 -23.559578, -46.7377088 -23.5618399, -46.7366387 -23.5619863, -46.736446 -23.5604629, -46.7359686 -23.5596048))",CEPE,
"POLYGON ((-46.7302318 -23.567864, -46.7304908 -23.5675171, -46.730523 -23.5671115, -46.7307477 -23.567148, -46.7309301 -23.5669439, -46.7312547 -23.5667583, -46.7317133 -23.5666956, -46.7332878 -23.5660785, -46.7335811 -23.5667273, -46.7346298 -23.5668429, -46.7348444 -23.5671576, -46.7353218 -23.5673346, -46.7359709 -23.5673887, -46.7362189 -23.5677825, -46.7340847 -23.5689906, -46.733626 -23.5690103, -46.7321106 -23.5682801, -46.7317351 -23.5682162, -46.7306234 -23.5682672, -46.7303284 -23.5681886, -46.7302318 -23.567864))",ICB,
"POLYGON ((-46.7316152 -23.5627936, -46.7321222 -23.5625035, -46.7330968 -23.5625119, -46.7363409 -23.5621461, -46.7366387 -23.5619863, -46.7377088 -23.5618399, -46.7378161 -23.559578, -46.7380058 -23.5595806, -46.7383279 -23.5596774, -46.7386659 -23.5597364, -46.7389931 -23.5599232, -46.7423352 -23.5599675, -46.7425229 -23.5600855, -46.7427429 -23.5603707, -46.7426442 -23.5608807, -46.7421078 -23.5616257, -46.7416357 -23.5624051, -46.7415177 -23.5626706, -46.7413916 -23.5633737, -46.7412427 -23.5635149, -46.7407358 -23.5638566, -46.7394805 -23.5645192, -46.739223 -23.5648019, -46.738303 -23.5663385, -46.7380133 -23.566663, -46.737729 -23.5668966, -46.7362189 -23.5677825, -46.7359709 -23.5673887, -46.7353218 -23.5673346, -46.7348444 -23.5671576, -46.7346298 -23.5668429, -46.7335811 -23.5667273, -46.7332878 -23.5660785, -46.7334219 -23.5660318, -46.7331135 -23.5646797, -46.7316152 -23.5627936))",IPEN,
